round_id,source,timestamp,multiplier,color,band,points,session_id
250,aviator,2026-07-24T14:32:51.366+00:00,5.88,"rgb(145, 62, 248)",high,176.674,1
251,aviator,2026-07-24T14:33:22.408+00:00,3.6,"rgb(145, 62, 248)",mid,155.44,1
252,aviator,2026-07-24T14:34:00.625+00:00,8.86,"rgb(145, 62, 248)",high,194.419,1
253,aviator,2026-07-24T14:34:24.825+00:00,2.72,"rgb(145, 62, 248)",base,143.308,1
254,aviator,2026-07-24T14:34:43.203+00:00,1.48,"rgb(52, 180, 255)",floor,116.968,1
255,aviator,2026-07-24T14:34:59.358+00:00,1.36,"rgb(52, 180, 255)",floor,113.308,1
256,aviator,2026-07-24T14:35:16.371+00:00,1.4,"rgb(52, 180, 255)",floor,114.563,1
257,aviator,2026-07-24T14:35:43.709+00:00,3.92,"rgb(145, 62, 248)",mid,159.126,1
258,aviator,2026-07-24T14:36:01.822+00:00,1.52,"rgb(52, 180, 255)",low,118.122,1
259,aviator,2026-07-24T14:36:16.005+00:00,1.24,"rgb(52, 180, 255)",floor,109.31,1
260,aviator,2026-07-24T14:36:41.366+00:00,3.05,"rgb(145, 62, 248)",mid,148.264,1
261,aviator,2026-07-24T14:36:59.634+00:00,1.9,"rgb(52, 180, 255)",low,127.78,1
262,aviator,2026-07-24T14:37:15.780+00:00,1.36,"rgb(52, 180, 255)",floor,113.308,1
263,aviator,2026-07-24T14:37:53.308+00:00,9.22,"rgb(145, 62, 248)",high,196.143,1
264,aviator,2026-07-24T14:38:14.393+00:00,2.16,"rgb(145, 62, 248)",base,133.331,1
265,aviator,2026-07-24T14:38:50.724+00:00,8.22,"rgb(145, 62, 248)",high,191.174,1
266,aviator,2026-07-24T14:39:14.939+00:00,2.48,"rgb(145, 62, 248)",base,139.31,1
267,aviator,2026-07-24T14:39:42.399+00:00,3.5,"rgb(145, 62, 248)",mid,154.221,1
268,aviator,2026-07-24T14:40:32.878+00:00,27.04,"rgb(192, 23, 180)",moonshot,242.711,1
270,aviator,2026-07-24T14:40:50.954+00:00,1.39,"rgb(52, 180, 255)",floor,114.253,1
271,aviator,2026-07-24T14:41:14.387+00:00,2.62,"rgb(145, 62, 248)",base,141.687,1
272,aviator,2026-07-24T14:42:20.857+00:00,102.36,"rgb(192, 23, 180)",cosmic,300.325,1
273,aviator,2026-07-24T14:42:48.030+00:00,2.2,"rgb(145, 62, 248)",base,134.125,1
274,aviator,2026-07-24T14:43:22.365+00:00,5.34,"rgb(145, 62, 248)",high,172.505,1
275,aviator,2026-07-24T14:43:57.639+00:00,5.25,"rgb(145, 62, 248)",high,171.77,1
276,aviator,2026-07-24T14:44:12.775+00:00,1.27,"rgb(52, 180, 255)",floor,110.345,1
277,aviator,2026-07-24T14:44:31.984+00:00,1.53,"rgb(52, 180, 255)",low,118.406,1
278,aviator,2026-07-24T14:44:44.111+00:00,1.0,"rgb(52, 180, 255)",dust,100.0,1
279,aviator,2026-07-24T14:45:35.450+00:00,27.22,"rgb(192, 23, 180)",moonshot,242.998,1
280,aviator,2026-07-24T14:45:50.615+00:00,1.14,"rgb(52, 180, 255)",dust,105.671,1
281,aviator,2026-07-24T14:46:09.830+00:00,1.69,"rgb(52, 180, 255)",low,122.711,1
283,aviator,2026-07-24T14:46:45.098+00:00,6.18,"rgb(145, 62, 248)",high,178.828,1
